data_incendi,codi_comarca,comarca,codi_municipi,termemunic,haarbrades,hanoarbrad,hanoforest,haforestal,source_table
2026-01-01T00:00:00.000,11,Baix Llobregat,80898,Gavà,0.0025,0,0,0.0025,9r29-e8ha
2026-01-10T00:00:00.000,21,Maresme,81939,Sant Iscle de Vallalta,0,0.0004,0,0.0004,9r29-e8ha
2026-01-11T00:00:00.000,8,Baix Camp,430385,Cambrils,0,0.2,0,0.2,9r29-e8ha
2026-01-13T00:00:00.000,41,Vallès Oriental,81249,Mollet del Vallès,0.0001,0,0,0.0001,9r29-e8ha
2026-01-13T00:00:00.000,14,Berguedà,80500,Castellar del Riu,0.001,0,0,0.001,9r29-e8ha
2026-01-16T00:00:00.000,41,Vallès Oriental,80333,Caldes de Montbui,0,0.02,0,0.02,9r29-e8ha
2026-01-25T00:00:00.000,17,Garraf,83073,Vilanova i la Geltrú,0,0.2,0,0.2,9r29-e8ha
2026-01-26T00:00:00.000,40,Vallès Occidental,82055,Sant Cugat del Vallès,0.0003,0,0,0.0003,9r29-e8ha
2026-01-31T00:00:00.000,6,Anoia,82508,Santa Margarida de Montbui,0,0.003,0,0.003,9r29-e8ha
2026-02-07T00:00:00.000,24,Osona,82460,Santa Eugènia de Berga,0,0.28,0,0.28,9r29-e8ha
2026-02-11T00:00:00.000,8,Baix Camp,430923,Mont-roig del Camp,0,0.02,0,0.02,9r29-e8ha
2026-02-12T00:00:00.000,11,Baix Llobregat,80898,Gavà,0.03,0.16,0,0.19,9r29-e8ha
2026-02-12T00:00:00.000,9,Baix Ebre,431554,Tortosa,0,0.0241,0.0177,0.0241,9r29-e8ha
2026-02-12T00:00:00.000,17,Garraf,82704,Sitges,0.18,0,0,0.18,9r29-e8ha
2026-02-12T00:00:00.000,24,Osona,82981,Vic,0,0.005,0,0.005,9r29-e8ha
2026-02-12T00:00:00.000,11,Baix Llobregat,83015,Viladecans,0,0.017,0,0.017,9r29-e8ha
2026-02-12T00:00:00.000,41,Vallès Oriental,82107,Sant Feliu de Codines,0,0.044,0,0.044,9r29-e8ha
2026-02-12T00:00:00.000,11,Baix Llobregat,81141,Martorell,0,0.08,0,0.08,9r29-e8ha
2026-02-14T00:00:00.000,36,Tarragonès,431482,Tarragona,0,0.7,0,0.7,9r29-e8ha
2026-02-16T00:00:00.000,22,Montsià,430141,Amposta,0,0.6994,0,0.6994,9r29-e8ha
2026-02-16T00:00:00.000,20,Gironès,170736,Fornells de la Selva,0,0.0025,0,0.0025,9r29-e8ha
2026-02-17T00:00:00.000,9,Baix Ebre,431554,Tortosa,0.0015,0,0,0.0015,9r29-e8ha
2026-02-18T00:00:00.000,1,Alt Camp,430017,Aiguamúrcia,0.01,0.01,0,0.02,9r29-e8ha
2026-02-18T00:00:00.000,20,Gironès,171668,Sant Jordi Desvalls,0,0.031,0,0.031,9r29-e8ha
2026-02-19T00:00:00.000,8,Baix Camp,430094,Alforja,0,0.025,0,0.025,9r29-e8ha
2026-02-19T00:00:00.000,34,Selva,170950,Lloret de Mar,0.001,0,0,0.001,9r29-e8ha
2026-02-19T00:00:00.000,9,Baix Ebre,431331,Roquetes,0.1203,0,0,0.1203,9r29-e8ha
2026-02-20T00:00:00.000,8,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0,0.004,0,0.004,9r29-e8ha
2026-02-21T00:00:00.000,36,Tarragonès,431482,Tarragona,0.005,0.005,0,0.01,9r29-e8ha
2026-02-21T00:00:00.000,24,Osona,82536,Santa Maria de Besora,2.05,0.02,0,2.07,9r29-e8ha
2026-02-21T00:00:00.000,21,Maresme,81213,Mataró,0,0.01,0,0.01,9r29-e8ha
2026-02-22T00:00:00.000,34,Selva,170237,Blanes,0.002,0,0,0.002,9r29-e8ha
2026-02-22T00:00:00.000,8,Baix Camp,431286,Riudecols,0,0.074,0,0.074,9r29-e8ha
2026-02-23T00:00:00.000,25,Pallars Jussà,252347,Tremp,0,3.6,0.72,3.6,9r29-e8ha
2026-02-23T00:00:00.000,8,Baix Camp,431188,Pratdip,0,0.02,0,0.02,9r29-e8ha
2026-02-24T00:00:00.000,8,Baix Camp,430173,"Argentera, l'",0,0.19,0,0.19,9r29-e8ha
2026-02-25T00:00:00.000,1,Alt Camp,431613,Valls,0.0126,0,0,0.0126,9r29-e8ha
2026-02-25T00:00:00.000,43,Lluçanès,81712,Prats de Lluçanès,0,0.015,0,0.015,9r29-e8ha
2026-02-25T00:00:00.000,35,Solsonès,251517,Olius,0.0235,0,0,0.0235,9r29-e8ha
2026-02-27T00:00:00.000,41,Vallès Oriental,81810,"Roca del Vallès, la",0,0.05,0,0.05,9r29-e8ha
2026-03-01T00:00:00.000,13,Barcelonès,80193,Barcelona,0,0.002,0,0.002,9r29-e8ha
2026-03-02T00:00:00.000,41,Vallès Oriental,82093,Sant Fost de Campsentelles,0.0368,0,0,0.0368,9r29-e8ha
2026-03-02T00:00:00.000,13,Barcelonès,80193,Barcelona,0,0.004,0,0.004,9r29-e8ha
2026-03-04T00:00:00.000,3,Alt Penedès,80654,Castellví de la Marca,0,0.0005,0,0.0005,9r29-e8ha
2026-03-05T00:00:00.000,41,Vallès Oriental,81593,Parets del Vallès,0,0.0003,0,0.0003,9r29-e8ha
2026-03-13T00:00:00.000,24,Osona,82652,Sant Vicenç de Torelló,0,0.005,0,0.005,9r29-e8ha
2026-03-15T00:00:00.000,9,Baix Ebre,439044,"Aldea, l'",0,0.0294,0,0.0294,9r29-e8ha
2026-03-15T00:00:00.000,4,Alt Urgell,250447,Bassella,0,0.008,0,0.008,9r29-e8ha
2026-03-15T00:00:00.000,40,Vallès Occidental,81878,Sabadell,0,0.0015,0,0.0015,9r29-e8ha
2026-03-15T00:00:00.000,3,Alt Penedès,81458,Olèrdola,0.0005,0,0,0.0005,9r29-e8ha
2026-03-15T00:00:00.000,25,Pallars Jussà,251615,Conca de Dalt,0.55,0,0,0.55,9r29-e8ha
2026-03-15T00:00:00.000,31,Ripollès,170391,Camprodon,0,0.029,0,0.029,9r29-e8ha
2026-03-16T00:00:00.000,10,Baix Empordà,170221,"Bisbal d'Empordà, la",0.03,0,0,0.03,9r29-e8ha
2026-03-16T00:00:00.000,13,Barcelonès,80193,Barcelona,0.05,0,0,0.05,9r29-e8ha
2026-03-16T00:00:00.000,4,Alt Urgell,252038,"Seu d'Urgell, la",0.0025,0,0,0.0025,9r29-e8ha
2026-03-17T00:00:00.000,4,Alt Urgell,251654,Peramola,0,0.006,0,0.006,9r29-e8ha
2026-03-17T00:00:00.000,14,Berguedà,80229,Berga,0,0.12,0,0.12,9r29-e8ha
2026-03-17T00:00:00.000,21,Maresme,82649,Sant Vicenç de Montalt,0,0.11,0,0.11,9r29-e8ha
2026-03-20T00:00:00.000,17,Garraf,82310,Sant Pere de Ribes,0,0.01,0,0.01,9r29-e8ha
2026-03-21T00:00:00.000,6,Anoia,81614,Piera,0,0.02,0.06,0.02,9r29-e8ha
2026-03-22T00:00:00.000,23,Noguera,252206,Térmens,0.0336,0,0,0.0336,9r29-e8ha
2026-03-22T00:00:00.000,21,Maresme,82824,Tiana,0,0.002,0.005,0.002,9r29-e8ha
2026-03-22T00:00:00.000,18,Garrigues,250582,"Borges Blanques, les",0,0.1,0,0.1,9r29-e8ha
2026-03-24T00:00:00.000,8,Baix Camp,430094,Alforja,0,0.85,0,0.85,9r29-e8ha
2026-03-25T00:00:00.000,40,Vallès Occidental,80517,Castellar del Vallès,0,0.7,0,0.7,9r29-e8ha
2026-03-25T00:00:00.000,9,Baix Ebre,430136,"Ametlla de Mar, l'",0.04,1.57,0,1.61,9r29-e8ha
2026-03-25T00:00:00.000,26,Pallars Sobirà,252094,Sort,0.01,0.096,0,0.106,9r29-e8ha
2026-03-25T00:00:00.000,18,Garrigues,251180,Juncosa,0,0.0145,0,0.0145,9r29-e8ha
2026-03-25T00:00:00.000,30,Ribera d'Ebre,431251,Riba-roja d'Ebre,0.3406,0.3079,0,0.6485,9r29-e8ha
2026-03-26T00:00:00.000,34,Selva,171805,Santa Coloma de Farners,0.1,0.4,0,0.5,9r29-e8ha
2026-03-26T00:00:00.000,9,Baix Ebre,431021,Paüls,0.46,0,0,0.46,9r29-e8ha
2026-03-26T00:00:00.000,22,Montsià,430770,Mas de Barberans,0,0.6101,0,0.6101,9r29-e8ha
2026-03-27T00:00:00.000,2,Alt Empordà,170160,Bàscara,0.002,0.002,0,0.004,9r29-e8ha
2026-03-27T00:00:00.000,2,Alt Empordà,171714,Sant Llorenç de la Muga,0.2,0.2,0,0.4,9r29-e8ha
2026-03-27T00:00:00.000,28,Pla de l'Estany,172180,Vilademuls,0.5,0,0,0.5,9r29-e8ha
2026-03-27T00:00:00.000,10,Baix Empordà,171100,Mont-ras,0,0.012,0,0.012,9r29-e8ha
2026-03-28T00:00:00.000,25,Pallars Jussà,251288,Llimiana,0.98,5.06,0.01,6.04,9r29-e8ha
2026-03-28T00:00:00.000,2,Alt Empordà,170622,"Escala, l'",0,0.29,0,0.29,9r29-e8ha
2026-03-29T00:00:00.000,31,Ripollès,171479,Ripoll,0.34,0,0,0.34,9r29-e8ha
2026-03-29T00:00:00.000,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0.001,0,0.001,9r29-e8ha
2026-03-29T00:00:00.000,10,Baix Empordà,171609,Sant Feliu de Guíxols,0,0.0006,0,0.0006,9r29-e8ha
2026-03-29T00:00:00.000,35,Solsonès,251240,Lladurs,0.13,0,0,0.13,9r29-e8ha
2026-03-29T00:00:00.000,7,Bages,81136,Manresa,0.0025,0,0,0.0025,9r29-e8ha
2026-03-29T00:00:00.000,31,Ripollès,170391,Camprodon,0.4145,0,0,0.4145,9r29-e8ha
2026-03-29T00:00:00.000,35,Solsonès,251484,Odèn,0,0.001,0,0.001,9r29-e8ha
2026-03-29T00:00:00.000,14,Berguedà,81751,Puig-reig,0,0.159,0,0.159,9r29-e8ha
2026-03-30T00:00:00.000,6,Anoia,80082,Argençola,0,0.006,0,0.006,9r29-e8ha
2026-03-30T00:00:00.000,9,Baix Ebre,439018,Deltebre,0,0.002,0,0.002,9r29-e8ha
2026-03-30T00:00:00.000,1,Alt Camp,430017,Aiguamúrcia,0.1,0,0,0.1,9r29-e8ha
2026-03-30T00:00:00.000,25,Pallars Jussà,251155,Isona i Conca Dellà,0,0.08,0,0.08,9r29-e8ha
2026-03-31T00:00:00.000,18,Garrigues,251180,Juncosa,0.22,1.08,0.1,1.3,9r29-e8ha
2026-03-31T00:00:00.000,2,Alt Empordà,171766,Sant Mori,0,0.01,0,0.01,9r29-e8ha
2026-03-31T00:00:00.000,10,Baix Empordà,171100,Mont-ras,0.005,0,0,0.005,9r29-e8ha
2026-03-31T00:00:00.000,22,Montsià,430635,"Galera, la",0,0.002,0,0.002,9r29-e8ha
2026-04-02T00:00:00.000,11,Baix Llobregat,80734,Cornellà de Llobregat,0,0.2,0,0.2,9r29-e8ha
2026-04-02T00:00:00.000,13,Barcelonès,80193,Barcelona,0,0.0777,0,0.0777,9r29-e8ha
2026-04-03T00:00:00.000,33,Segrià,250122,Alcoletge,0.02,0.03,0,0.05,9r29-e8ha
2026-04-03T00:00:00.000,21,Maresme,80095,Argentona,0,0.01,0,0.01,9r29-e8ha
2026-04-04T00:00:00.000,33,Segrià,251207,Lleida,0.03,0,0,0.03,9r29-e8ha
2026-04-04T00:00:00.000,1,Alt Camp,430017,Aiguamúrcia,0,0.001,0,0.001,9r29-e8ha
2026-04-04T00:00:00.000,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0.0027,0,0.0027,9r29-e8ha
2026-04-04T00:00:00.000,23,Noguera,251569,Os de Balaguer,0,0.01,0,0.01,9r29-e8ha
2026-04-04T00:00:00.000,7,Bages,81136,Manresa,0,0.0175,0,0.0175,9r29-e8ha
2026-04-04T00:00:00.000,13,Barcelonès,81944,Sant Adrià de Besòs,0,0.03,0,0.03,9r29-e8ha
2026-04-04T00:00:00.000,7,Bages,82747,Súria,0,0.03,0,0.03,9r29-e8ha
2026-04-05T00:00:00.000,4,Alt Urgell,259097,"Vansa i Fórnols, la",0.57,1.2,0,1.77,9r29-e8ha
2026-04-05T00:00:00.000,8,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0.004,0.012,0,0.016,9r29-e8ha
2026-04-05T00:00:00.000,8,Baix Camp,430398,Capafonts,0.2745,0,0,0.2745,9r29-e8ha
2026-04-06T00:00:00.000,1,Alt Camp,430017,Aiguamúrcia,0,0.003,0,0.003,9r29-e8ha
2026-04-06T00:00:00.000,33,Segrià,251207,Lleida,0.05,0,0,0.05,9r29-e8ha
2026-04-06T00:00:00.000,15,Cerdanya,250518,Bellver de Cerdanya,0,0.0745,0,0.0745,9r29-e8ha
2026-04-06T00:00:00.000,8,Baix Camp,430923,Mont-roig del Camp,0.004,0,0,0.004,9r29-e8ha
2026-04-06T00:00:00.000,33,Segrià,251207,Lleida,0.003,0,0,0.003,9r29-e8ha
2026-04-06T00:00:00.000,33,Segrià,250117,Alcarràs,0.02,0,0,0.02,9r29-e8ha
2026-04-06T00:00:00.000,31,Ripollès,171479,Ripoll,0,0.05,0,0.05,9r29-e8ha
2026-04-07T00:00:00.000,18,Garrigues,251193,Juneda,0,0.001,0,0.001,9r29-e8ha
2026-04-07T00:00:00.000,25,Pallars Jussà,259046,Castell de Mur,0,0.017,0,0.017,9r29-e8ha
2026-04-07T00:00:00.000,33,Segrià,251312,Massalcoreig,3.3,0,0,3.3,9r29-e8ha
2026-04-07T00:00:00.000,19,Garrotxa,170195,Besalú,0.02,0,0,0.02,9r29-e8ha
2026-04-08T00:00:00.000,3,Alt Penedès,83054,Vilafranca del Penedès,0,0.022,0,0.022,9r29-e8ha
2026-04-08T00:00:00.000,24,Osona,81290,Muntanyola,0.17,0,0,0.17,9r29-e8ha
2026-04-08T00:00:00.000,23,Noguera,250621,Camarasa,0,0.0015,0,0.0015,9r29-e8ha
2026-04-08T00:00:00.000,7,Bages,81918,Sallent,0.01,0.01,0,0.02,9r29-e8ha
2026-04-09T00:00:00.000,30,Ribera d'Ebre,430653,Garcia,0.21,0.01,0.02,0.22,9r29-e8ha
2026-04-09T00:00:00.000,37,Terra Alta,430228,Batea,1.56,0.06,0,1.62,9r29-e8ha
2026-04-09T00:00:00.000,33,Segrià,251023,"Granja d'Escarp, la",0.0875,0,0,0.0875,9r29-e8ha
2026-04-09T00:00:00.000,9,Baix Ebre,431042,"Perelló, el",0,0.0943,0,0.0943,9r29-e8ha
2026-04-09T00:00:00.000,17,Garraf,80749,Cubelles,0,0.025,0,0.025,9r29-e8ha
2026-04-10T00:00:00.000,40,Vallès Occidental,82055,Sant Cugat del Vallès,0,0.013,0,0.013,9r29-e8ha
2026-04-10T00:00:00.000,33,Segrià,251207,Lleida,0,0.000647,0,0.000647,9r29-e8ha
2026-04-10T00:00:00.000,11,Baix Llobregat,80018,Abrera,0.05,0,0,0.05,9r29-e8ha
2026-04-10T00:00:00.000,18,Garrigues,250582,"Borges Blanques, les",0.1074,0.0239,0,0.1313,9r29-e8ha
2026-04-10T00:00:00.000,8,Baix Camp,431270,Riudecanyes,0.0095,0,0,0.0095,9r29-e8ha
2026-04-10T00:00:00.000,40,Vallès Occidental,80517,Castellar del Vallès,0.16,0,0,0.16,9r29-e8ha
2026-04-11T00:00:00.000,3,Alt Penedès,83054,Vilafranca del Penedès,0,0.05,0,0.05,9r29-e8ha
2026-04-11T00:00:00.000,11,Baix Llobregat,82009,Sant Boi de Llobregat,0,0.073,0,0.073,9r29-e8ha
2026-04-11T00:00:00.000,38,Urgell,250501,Bellpuig,0,0.072,0.055,0.072,9r29-e8ha
2026-04-11T00:00:00.000,33,Segrià,251207,Lleida,0.0238,0,0,0.0238,9r29-e8ha
2026-04-11T00:00:00.000,33,Segrià,251207,Lleida,0,0.1188,0,0.1188,9r29-e8ha
2026-04-11T00:00:00.000,8,Baix Camp,431628,Vandellòs i l'Hospitalet de l'Infant,0,0.0966,0.03,0.0966,9r29-e8ha
2026-04-11T00:00:00.000,15,Cerdanya,251790,Prullans,0.0088,0.03,0,0.0388,9r29-e8ha
2026-04-11T00:00:00.000,29,Priorat,430555,Falset,0,0.0025,0,0.0025,9r29-e8ha
2026-04-11T00:00:00.000,30,Ribera d'Ebre,430607,Flix,0.02,0,0,0.02,9r29-e8ha
2026-04-11T00:00:00.000,9,Baix Ebre,431554,Tortosa,0.16,0,0,0.16,9r29-e8ha
2026-04-12T00:00:00.000,36,Tarragonès,430509,Creixell,0.5,0,0,0.5,9r29-e8ha
2026-04-12T00:00:00.000,40,Vallès Occidental,81878,Sabadell,0,0.0008,0,0.0008,9r29-e8ha
2026-04-15T00:00:00.000,18,Garrigues,251193,Juneda,0.0523,0,0,0.0523,9r29-e8ha
2026-04-15T00:00:00.000,11,Baix Llobregat,82080,Sant Esteve Sesrovires,0,0.0015,0,0.0015,9r29-e8ha
2026-04-16T00:00:00.000,11,Baix Llobregat,81477,Olesa de Montserrat,0,0.021,0,0.021,9r29-e8ha
2026-04-16T00:00:00.000,9,Baix Ebre,430136,"Ametlla de Mar, l'",0.17,0,0,0.17,9r29-e8ha
2026-04-16T00:00:00.000,32,Segarra,251919,Sanaüja,0.01,0.02,0,0.03,9r29-e8ha
2026-04-17T00:00:00.000,1,Alt Camp,431191,Puigpelat,0,0.3339,0,0.3339,9r29-e8ha
2026-04-18T00:00:00.000,23,Noguera,250352,"Sentiu de Sió, la",0,0.002,0,0.002,9r29-e8ha
2026-04-18T00:00:00.000,33,Segrià,251023,"Granja d'Escarp, la",0.07,0.25,0,0.32,9r29-e8ha
2026-04-18T00:00:00.000,33,Segrià,251312,Massalcoreig,0.0183,0,0,0.0183,9r29-e8ha
2026-04-18T00:00:00.000,9,Baix Ebre,430069,Aldover,0,0.1754,0,0.1754,9r29-e8ha
2026-04-19T00:00:00.000,34,Selva,170950,Lloret de Mar,0.06,0,0,0.06,9r29-e8ha
2026-04-20T00:00:00.000,21,Maresme,80060,Arenys de Mar,0.0002,0.0015,0,0.0017,9r29-e8ha
2026-04-20T00:00:00.000,34,Selva,170950,Lloret de Mar,0.0025,0,0,0.0025,9r29-e8ha
2026-04-21T00:00:00.000,41,Vallès Oriental,80885,"Garriga, la",0.13,0,0,0.13,9r29-e8ha
2026-04-22T00:00:00.000,18,Garrigues,250735,Cervià de les Garrigues,0.03,0.12,0,0.15,9r29-e8ha
2026-04-23T00:00:00.000,16,Conca de Barberà,431726,Vilaverd,0.0008,0.0002,0,0.001,9r29-e8ha
2026-04-23T00:00:00.000,8,Baix Camp,430173,"Argentera, l'",0,0.058,0,0.058,9r29-e8ha
2026-04-23T00:00:00.000,8,Baix Camp,431188,Pratdip,0,0.003,0,0.003,9r29-e8ha
2026-04-23T00:00:00.000,8,Baix Camp,430458,Colldejou,0,0.001,0,0.001,9r29-e8ha
2026-04-25T00:00:00.000,40,Vallès Occidental,82606,Santa Perpètua de Mogoda,0.002,0.003,0,0.005,9r29-e8ha
2026-04-26T00:00:00.000,33,Segrià,251207,Lleida,0,0.0425,0,0.0425,9r29-e8ha
2026-04-26T00:00:00.000,41,Vallès Oriental,82021,Sant Celoni,0,0.0052,0,0.0052,9r29-e8ha
2026-04-27T00:00:00.000,9,Baix Ebre,431554,Tortosa,0.075,0,0,0.075,9r29-e8ha
2026-04-27T00:00:00.000,33,Segrià,251207,Lleida,0.02,0,0,0.02,9r29-e8ha
2026-04-27T00:00:00.000,33,Segrià,252326,Torres de Segre,0,0.004,0,0.004,9r29-e8ha
2026-04-28T00:00:00.000,40,Vallès Occidental,81846,Rubí,0,0.003,0,0.003,9r29-e8ha
2026-04-28T00:00:00.000,9,Baix Ebre,439018,Deltebre,0,0.05,0,0.05,9r29-e8ha
2026-04-28T00:00:00.000,40,Vallès Occidental,81878,Sabadell,0,0.0004,0,0.0004,9r29-e8ha
2026-04-29T00:00:00.000,21,Maresme,82037,Sant Cebrià de Vallalta,0,0,0.06,0,9r29-e8ha
2026-04-29T00:00:00.000,41,Vallès Oriental,80863,"Franqueses del Vallès, les",0.013,0,0,0.013,9r29-e8ha
2026-04-30T00:00:00.000,40,Vallès Occidental,82798,Terrassa,0.02,0,0,0.02,9r29-e8ha
2026-04-30T00:00:00.000,40,Vallès Occidental,81846,Rubí,0.0001,0,0,0.0001,9r29-e8ha
2026-04-30T00:00:00.000,13,Barcelonès,80193,Barcelona,0,0.467,0,0.467,9r29-e8ha
2026-04-30T00:00:00.000,9,Baix Ebre,431495,Tivenys,0.025,0,0,0.025,9r29-e8ha
2026-04-30T00:00:00.000,33,Segrià,250077,Albatàrrec,0,0.37,0.86,0.37,9r29-e8ha
2026-05-01T00:00:00.000,25,Pallars Jussà,259046,Castell de Mur,0.007,0,0,0.007,9r29-e8ha
2026-05-01T00:00:00.000,23,Noguera,250083,Albesa,3.17,0.16,0.13,3.33,9r29-e8ha
2026-05-01T00:00:00.000,2,Alt Empordà,171328,Peralada,0,0.005,0,0.005,9r29-e8ha
2026-05-01T00:00:00.000,40,Vallès Occidental,82798,Terrassa,0,0.04,0,0.04,9r29-e8ha
2026-05-01T00:00:00.000,33,Segrià,250334,Artesa de Lleida,0,0.1,0,0.1,9r29-e8ha
2026-05-01T00:00:00.000,9,Baix Ebre,431554,Tortosa,0.1,0,0,0.1,9r29-e8ha
2026-05-01T00:00:00.000,20,Gironès,170792,Girona,0,0.0146,0.0176,0.0146,9r29-e8ha
2026-05-02T00:00:00.000,28,Pla de l'Estany,170715,Fontcoberta,0,0.03,0,0.03,9r29-e8ha
2026-05-02T00:00:00.000,40,Vallès Occidental,82671,Sentmenat,0,0.24,0,0.24,9r29-e8ha
2026-05-02T00:00:00.000,28,Pla de l'Estany,170157,Banyoles,0,0.04,0,0.04,9r29-e8ha
2026-05-02T00:00:00.000,28,Pla de l'Estany,170157,Banyoles,0,0.0004,0,0.0004,9r29-e8ha
2026-05-04T00:00:00.000,40,Vallès Occidental,83008,Viladecavalls,0.002,0,0,0.002,9r29-e8ha
2026-05-12T00:00:00.000,21,Maresme,80095,Argentona,0.001,0,0,0.001,9r29-e8ha
2026-05-12T00:00:00.000,41,Vallès Oriental,81363,Montornès del Vallès,0.0001,0.0014,0,0.0015,9r29-e8ha
2026-05-12T00:00:00.000,10,Baix Empordà,171997,Torroella de Montgrí,0,0.022,0,0.022,9r29-e8ha
2026-05-13T00:00:00.000,9,Baix Ebre,431554,Tortosa,0.06,0.07,0,0.13,9r29-e8ha
2026-05-13T00:00:00.000,30,Ribera d'Ebre,431251,Riba-roja d'Ebre,1.34,1.41,0.57,2.75,9r29-e8ha
2026-05-14T00:00:00.000,33,Segrià,251207,Lleida,0,0.16,0,0.16,9r29-e8ha
2026-05-14T00:00:00.000,33,Segrià,252287,Torrefarrera,0,0.12,0.1,0.12,9r29-e8ha
2026-05-16T00:00:00.000,27,Pla d'Urgell,250523,Bellvís,0,0.2084,0,0.2084,9r29-e8ha
2026-05-17T00:00:00.000,36,Tarragonès,431482,Tarragona,0,0.021,0,0.021,9r29-e8ha
2026-05-17T00:00:00.000,33,Segrià,250215,Almenar,0,0.016,0,0.016,9r29-e8ha
2026-05-21T00:00:00.000,30,Ribera d'Ebre,431779,Vinebre,1.96,3.14,3.28,5.1,9r29-e8ha
2026-05-22T00:00:00.000,7,Bages,80023,Aguilar de Segarra,0,0.65,0,0.65,9r29-e8ha
2026-05-22T00:00:00.000,23,Noguera,250349,Artesa de Segre,0,0.025,1.475,0.025,9r29-e8ha
2026-05-23T00:00:00.000,13,Barcelonès,82457,Santa Coloma de Gramenet,0,0.001,0,0.001,9r29-e8ha
2026-05-23T00:00:00.000,36,Tarragonès,431482,Tarragona,0.05,0,0,0.05,9r29-e8ha
2026-05-24T00:00:00.000,40,Vallès Occidental,81878,Sabadell,0,0.002,0,0.002,9r29-e8ha
2026-05-24T00:00:00.000,18,Garrigues,250061,"Albagés, l'",0,0.02,0.45,0.02,9r29-e8ha
2026-05-25T00:00:00.000,33,Segrià,251207,Lleida,4.2,0,0,4.2,9r29-e8ha
2026-05-25T00:00:00.000,41,Vallès Oriental,89024,Vilanova del Vallès,0.015,0,0,0.015,9r29-e8ha
2026-05-25T00:00:00.000,21,Maresme,81213,Mataró,0,0.045,0,0.045,9r29-e8ha
2026-05-26T00:00:00.000,21,Maresme,80752,Dosrius,0,0.0015,0,0.0015,9r29-e8ha
2026-05-26T00:00:00.000,33,Segrià,251749,"Portella, la",0,0.39,0,0.39,9r29-e8ha
2026-05-26T00:00:00.000,37,Terra Alta,430483,Corbera d'Ebre,0,0.1,0.34,0.1,9r29-e8ha
2026-05-26T00:00:00.000,18,Garrigues,250061,"Albagés, l'",0,0.1,0.43,0.1,9r29-e8ha
2026-05-26T00:00:00.000,37,Terra Alta,430228,Batea,0.88,0,0.06,0.88,9r29-e8ha
2026-05-26T00:00:00.000,9,Baix Ebre,431554,Tortosa,0.03,0,0.02,0.03,9r29-e8ha
2026-05-27T00:00:00.000,11,Baix Llobregat,83015,Viladecans,0.08,0.02,0,0.1,9r29-e8ha
2026-05-27T00:00:00.000,37,Terra Alta,430326,Bot,0.15,0.11,0.13,0.26,9r29-e8ha
2026-05-27T00:00:00.000,8,Baix Camp,431166,Prades,0,0.015,0,0.015,9r29-e8ha
2026-05-28T00:00:00.000,36,Tarragonès,431114,"Pobla de Montornès, la",0,0.18,0,0.18,9r29-e8ha
2026-05-28T00:00:00.000,21,Maresme,81537,Òrrius,0.84,0.1,0.46,0.94,9r29-e8ha
2026-05-28T00:00:00.000,35,Solsonès,251240,Lladurs,0.0071,0,0.061,0.0071,9r29-e8ha
2026-05-28T00:00:00.000,33,Segrià,251207,Lleida,0,0.058,0,0.058,9r29-e8ha
2026-05-28T00:00:00.000,37,Terra Alta,430326,Bot,0,0.35,0.09,0.35,9r29-e8ha
2026-05-28T00:00:00.000,3,Alt Penedès,80137,Avinyonet del Penedès,0,0.0356,0,0.0356,9r29-e8ha
2026-05-28T00:00:00.000,11,Baix Llobregat,82042,Sant Climent de Llobregat,0,0.006,0,0.006,9r29-e8ha
2026-05-29T00:00:00.000,12,Baix Penedès,430516,Cunit,0,0.0015,0,0.0015,9r29-e8ha
2026-05-29T00:00:00.000,6,Anoia,80364,Calonge de Segarra,0,0.0936,0,0.0936,9r29-e8ha
2026-05-29T00:00:00.000,33,Segrià,252542,Vilanova de la Barca,0.5,0.52,0.01,1.02,9r29-e8ha
2026-05-29T00:00:00.000,38,Urgell,250501,Bellpuig,0,0.12,0.38,0.12,9r29-e8ha
2026-05-30T00:00:00.000,40,Vallès Occidental,82233,Sant Llorenç Savall,0,0.0083,0,0.0083,9r29-e8ha
2026-05-30T00:00:00.000,20,Gironès,170675,Flaçà,0.008,0,0,0.008,9r29-e8ha
2026-05-30T00:00:00.000,20,Gironès,170675,Flaçà,0.005,0,0,0.005,9r29-e8ha
2026-05-30T00:00:00.000,16,Conca de Barberà,430213,Barberà de la Conca,0.19,0.44,0,0.63,9r29-e8ha
2026-05-30T00:00:00.000,40,Vallès Occidental,81878,Sabadell,0,0.09,0,0.09,9r29-e8ha
2026-05-30T00:00:00.000,33,Segrià,252115,Sudanell,0,0.02,0,0.02,9r29-e8ha
2026-05-31T00:00:00.000,20,Gironès,171693,Sant Julià de Ramis,0,0.85,1.67,0.85,9r29-e8ha
2026-05-31T00:00:00.000,4,Alt Urgell,251497,Oliana,0.0004,0,0,0.0004,9r29-e8ha
2026-06-01T00:00:00.000,3,Alt Penedès,81458,Olèrdola,0,0.001,0,0.001,9r29-e8ha
2026-06-01T00:00:00.000,33,Segrià,251207,Lleida,0,0.291,0,0.291,9r29-e8ha
2026-06-01T00:00:00.000,20,Gironès,171637,Sant Gregori,0.26,0.04,0,0.3,9r29-e8ha
